Thu Nov  5 18:34:41 2020 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.03975, valid loss: 0.00658, Acc: 99.8291, AUC: 0.999983.
Thu Nov  5 18:37:56 2020 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.04423, valid loss: 0.01799, Acc: 99.6923, AUC: 0.999961.
Thu Nov  5 18:41:11 2020 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.03094, valid loss: 0.00628, Acc: 99.7607, AUC: 0.999992.
Thu Nov  5 18:44:27 2020 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.02671, valid loss: 0.04389, Acc: 98.2222, AUC: 0.999691.
Thu Nov  5 18:47:42 2020 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.02808, valid loss: 0.00602, Acc: 99.8632, AUC: 0.999998.
Thu Nov  5 18:50:57 2020 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.02586, valid loss: 0.01149, Acc: 99.7949, AUC: 0.999968.
Thu Nov  5 18:54:12 2020 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.02201, valid loss: 0.00728, Acc: 99.8632, AUC: 0.999988.
Thu Nov  5 18:57:27 2020 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.02302, valid loss: 0.00553, Acc: 99.8974, AUC: 0.999994.
Thu Nov  5 19:00:41 2020 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.02243, valid loss: 0.00965, Acc: 99.6581, AUC: 0.999986.
Thu Nov  5 19:03:56 2020 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.02041, valid loss: 0.01008, Acc: 99.6923, AUC: 0.999984.
Thu Nov  5 19:07:11 2020 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.01528, valid loss: 0.00969, Acc: 99.8632, AUC: 0.999987.
Thu Nov  5 19:10:26 2020 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.01655, valid loss: 0.00460, Acc: 99.8632, AUC: 0.999997.
Thu Nov  5 19:13:41 2020 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.01384, valid loss: 0.00274, Acc: 99.9316, AUC: 1.000000.
Thu Nov  5 19:16:57 2020 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.01199, valid loss: 0.00215, Acc: 99.9316, AUC: 0.999999.
Thu Nov  5 19:20:12 2020 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.01169, valid loss: 0.00296, Acc: 99.9316, AUC: 0.999997.
Thu Nov  5 19:23:26 2020 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.00944, valid loss: 0.00418, Acc: 99.9316, AUC: 0.999998.
Thu Nov  5 19:26:41 2020 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.01025, valid loss: 0.00554, Acc: 99.9316, AUC: 0.999998.
