Mon Nov 16 16:39:09 2020 Fold 0, Epoch 1, lr: 0.0000030, train loss: 1.97769, valid loss: 1.86077, Acc: 33.9120, AUC: 0.000000.
Mon Nov 16 16:41:50 2020 Fold 0, Epoch 2, lr: 0.0000300, train loss: 1.27774, valid loss: 0.85277, Acc: 70.7176, AUC: 0.000000.
Mon Nov 16 16:44:31 2020 Fold 0, Epoch 3, lr: 0.0000298, train loss: 0.76479, valid loss: 0.62089, Acc: 78.4722, AUC: 0.000000.
Mon Nov 16 16:47:13 2020 Fold 0, Epoch 4, lr: 0.0000292, train loss: 0.58643, valid loss: 0.57390, Acc: 79.1667, AUC: 0.000000.
Mon Nov 16 16:49:52 2020 Fold 0, Epoch 5, lr: 0.0000282, train loss: 0.47552, valid loss: 0.52596, Acc: 81.1921, AUC: 0.000000.
Mon Nov 16 16:52:33 2020 Fold 0, Epoch 6, lr: 0.0000268, train loss: 0.40235, valid loss: 0.52200, Acc: 78.9931, AUC: 0.000000.
Mon Nov 16 16:55:12 2020 Fold 0, Epoch 7, lr: 0.0000252, train loss: 0.34649, valid loss: 0.49295, Acc: 80.1505, AUC: 0.000000.
Mon Nov 16 16:57:52 2020 Fold 0, Epoch 8, lr: 0.0000232, train loss: 0.31409, valid loss: 0.46441, Acc: 80.0347, AUC: 0.000000.
Mon Nov 16 17:00:34 2020 Fold 0, Epoch 9, lr: 0.0000210, train loss: 0.25752, valid loss: 0.46160, Acc: 81.7708, AUC: 0.000000.
Mon Nov 16 17:03:16 2020 Fold 0, Epoch 10, lr: 0.0000187, train loss: 0.22448, valid loss: 0.58592, Acc: 77.7778, AUC: 0.000000.
Mon Nov 16 17:05:56 2020 Fold 0, Epoch 11, lr: 0.0000162, train loss: 0.16022, valid loss: 0.52402, Acc: 80.6134, AUC: 0.000000.
Mon Nov 16 17:08:38 2020 Fold 0, Epoch 12, lr: 0.0000138, train loss: 0.13672, valid loss: 0.57768, Acc: 79.5718, AUC: 0.000000.
Mon Nov 16 17:11:19 2020 Fold 0, Epoch 13, lr: 0.0000113, train loss: 0.11695, valid loss: 0.56187, Acc: 80.1505, AUC: 0.000000.
Mon Nov 16 17:14:00 2020 Fold 0, Epoch 14, lr: 0.0000090, train loss: 0.09504, valid loss: 0.58863, Acc: 79.3981, AUC: 0.000000.
Mon Nov 16 17:16:42 2020 Fold 0, Epoch 15, lr: 0.0000068, train loss: 0.07761, valid loss: 0.57337, Acc: 78.7037, AUC: 0.000000.
Mon Nov 16 17:19:27 2020 Fold 0, Epoch 16, lr: 0.0000048, train loss: 0.07508, valid loss: 0.56485, Acc: 80.3819, AUC: 0.000000.
Mon Nov 16 17:22:09 2020 Fold 0, Epoch 17, lr: 0.0000032, train loss: 0.07661, valid loss: 0.58589, Acc: 79.6296, AUC: 0.000000.
Mon Nov 16 17:24:50 2020 Fold 0, Epoch 18, lr: 0.0000018, train loss: 0.06236, valid loss: 0.58466, Acc: 79.7454, AUC: 0.000000.
Mon Nov 16 17:27:29 2020 Fold 0, Epoch 19, lr: 0.0000008, train loss: 0.06102, valid loss: 0.56398, Acc: 79.3981, AUC: 0.000000.
Mon Nov 16 17:30:08 2020 Fold 0, Epoch 20, lr: 0.0000002, train loss: 0.06542, valid loss: 0.60713, Acc: 79.0509, AUC: 0.000000.
Mon Nov 16 17:32:49 2020 Fold 1, Epoch 1, lr: 0.0000030, train loss: 1.94607, valid loss: 1.79127, Acc: 34.6814, AUC: 0.000000.
Mon Nov 16 17:35:30 2020 Fold 1, Epoch 2, lr: 0.0000300, train loss: 1.27915, valid loss: 0.82336, Acc: 73.2843, AUC: 0.000000.
