Tue Nov 17 12:49:23 2020 Fold 0, Epoch 8, lr: 0.0000075, train loss: 0.06967, valid loss: 0.55084, Acc: 80.7870, AUC: 0.000000.
Tue Nov 17 12:52:08 2020 Fold 0, Epoch 9, lr: 0.0000035, train loss: 0.05991, valid loss: 0.59461, Acc: 80.3241, AUC: 0.000000.
Tue Nov 17 12:54:54 2020 Fold 0, Epoch 10, lr: 0.0000009, train loss: 0.06000, valid loss: 0.60410, Acc: 80.3819, AUC: 0.000000.
Tue Nov 17 12:57:41 2020 Fold 1, Epoch 1, lr: 0.0000030, train loss: 0.30735, valid loss: 0.43391, Acc: 82.1691, AUC: 0.000000.
Tue Nov 17 13:00:27 2020 Fold 1, Epoch 2, lr: 0.0000300, train loss: 0.30646, valid loss: 0.42862, Acc: 81.8627, AUC: 0.000000.
Tue Nov 17 13:03:14 2020 Fold 1, Epoch 3, lr: 0.0000291, train loss: 0.24312, valid loss: 0.42671, Acc: 82.3529, AUC: 0.000000.
Tue Nov 17 13:06:00 2020 Fold 1, Epoch 4, lr: 0.0000265, train loss: 0.18081, valid loss: 0.44257, Acc: 82.5980, AUC: 0.000000.
Tue Nov 17 13:08:47 2020 Fold 1, Epoch 5, lr: 0.0000225, train loss: 0.13157, valid loss: 0.43134, Acc: 82.9657, AUC: 0.000000.
Tue Nov 17 13:11:33 2020 Fold 1, Epoch 6, lr: 0.0000176, train loss: 0.09546, valid loss: 0.48322, Acc: 82.5980, AUC: 0.000000.
Tue Nov 17 13:14:20 2020 Fold 1, Epoch 7, lr: 0.0000124, train loss: 0.07834, valid loss: 0.48265, Acc: 81.9853, AUC: 0.000000.
Tue Nov 17 13:17:06 2020 Fold 1, Epoch 8, lr: 0.0000075, train loss: 0.06889, valid loss: 0.49520, Acc: 82.2304, AUC: 0.000000.
Tue Nov 17 13:19:52 2020 Fold 1, Epoch 9, lr: 0.0000035, train loss: 0.06288, valid loss: 0.49043, Acc: 81.7402, AUC: 0.000000.
Tue Nov 17 13:22:39 2020 Fold 1, Epoch 10, lr: 0.0000009, train loss: 0.06704, valid loss: 0.49633, Acc: 82.1078, AUC: 0.000000.
Tue Nov 17 13:25:26 2020 Fold 2, Epoch 1, lr: 0.0000030, train loss: 0.30740, valid loss: 0.42967, Acc: 82.3864, AUC: 0.000000.
Tue Nov 17 13:28:13 2020 Fold 2, Epoch 2, lr: 0.0000300, train loss: 0.31618, valid loss: 0.42393, Acc: 82.1970, AUC: 0.000000.
Tue Nov 17 13:31:00 2020 Fold 2, Epoch 3, lr: 0.0000291, train loss: 0.24803, valid loss: 0.38863, Acc: 83.8384, AUC: 0.000000.
Tue Nov 17 13:33:47 2020 Fold 2, Epoch 4, lr: 0.0000265, train loss: 0.19245, valid loss: 0.44683, Acc: 80.9975, AUC: 0.000000.
Tue Nov 17 13:36:34 2020 Fold 2, Epoch 5, lr: 0.0000225, train loss: 0.13769, valid loss: 0.46584, Acc: 82.3864, AUC: 0.000000.
Tue Nov 17 13:39:21 2020 Fold 2, Epoch 6, lr: 0.0000176, train loss: 0.09819, valid loss: 0.48588, Acc: 81.1237, AUC: 0.000000.
Tue Nov 17 13:42:07 2020 Fold 2, Epoch 7, lr: 0.0000124, train loss: 0.07515, valid loss: 0.50566, Acc: 81.5025, AUC: 0.000000.
Tue Nov 17 13:44:54 2020 Fold 2, Epoch 8, lr: 0.0000075, train loss: 0.07126, valid loss: 0.50354, Acc: 81.2500, AUC: 0.000000.
Tue Nov 17 13:47:41 2020 Fold 2, Epoch 9, lr: 0.0000035, train loss: 0.06142, valid loss: 0.48682, Acc: 82.0076, AUC: 0.000000.
Tue Nov 17 13:50:28 2020 Fold 2, Epoch 10, lr: 0.0000009, train loss: 0.06812, valid loss: 0.55166, Acc: 80.9343, AUC: 0.000000.
Tue Nov 17 13:53:14 2020 Fold 3, Epoch 1, lr: 0.0000030, train loss: 1.94958, valid loss: 1.83249, Acc: 34.4595, AUC: 0.000000.
Tue Nov 17 13:55:59 2020 Fold 3, Epoch 2, lr: 0.0000300, train loss: 1.27804, valid loss: 0.87193, Acc: 68.9189, AUC: 0.000000.
Tue Nov 17 13:58:44 2020 Fold 3, Epoch 3, lr: 0.0000291, train loss: 0.78087, valid loss: 0.62355, Acc: 78.7162, AUC: 0.000000.
Tue Nov 17 14:01:29 2020 Fold 3, Epoch 4, lr: 0.0000265, train loss: 0.58954, valid loss: 0.54039, Acc: 80.4617, AUC: 0.000000.
Tue Nov 17 14:04:14 2020 Fold 3, Epoch 5, lr: 0.0000225, train loss: 0.48687, valid loss: 0.47949, Acc: 82.4324, AUC: 0.000000.
Tue Nov 17 14:06:59 2020 Fold 3, Epoch 6, lr: 0.0000176, train loss: 0.41806, valid loss: 0.48064, Acc: 81.9257, AUC: 0.000000.
Tue Nov 17 14:09:44 2020 Fold 3, Epoch 7, lr: 0.0000124, train loss: 0.38791, valid loss: 0.46052, Acc: 81.5878, AUC: 0.000000.
Tue Nov 17 14:12:29 2020 Fold 3, Epoch 8, lr: 0.0000075, train loss: 0.34976, valid loss: 0.45367, Acc: 81.5315, AUC: 0.000000.
Tue Nov 17 14:15:14 2020 Fold 3, Epoch 9, lr: 0.0000035, train loss: 0.32884, valid loss: 0.44725, Acc: 82.7703, AUC: 0.000000.
Tue Nov 17 14:17:59 2020 Fold 3, Epoch 10, lr: 0.0000009, train loss: 0.32429, valid loss: 0.44067, Acc: 81.8694, AUC: 0.000000.
Tue Nov 17 14:20:45 2020 Fold 4, Epoch 1, lr: 0.0000030, train loss: 1.93979, valid loss: 1.81919, Acc: 30.2083, AUC: 0.000000.
Tue Nov 17 14:23:30 2020 Fold 4, Epoch 2, lr: 0.0000300, train loss: 1.30684, valid loss: 0.85670, Acc: 69.6181, AUC: 0.000000.
Tue Nov 17 14:26:15 2020 Fold 4, Epoch 3, lr: 0.0000291, train loss: 0.78615, valid loss: 0.62785, Acc: 77.4306, AUC: 0.000000.
Tue Nov 17 14:29:00 2020 Fold 4, Epoch 4, lr: 0.0000265, train loss: 0.58047, valid loss: 0.50520, Acc: 80.6134, AUC: 0.000000.
Tue Nov 17 14:31:46 2020 Fold 4, Epoch 5, lr: 0.0000225, train loss: 0.48616, valid loss: 0.47214, Acc: 81.1921, AUC: 0.000000.
Tue Nov 17 14:34:31 2020 Fold 4, Epoch 6, lr: 0.0000176, train loss: 0.41450, valid loss: 0.45275, Acc: 82.0602, AUC: 0.000000.
Tue Nov 17 14:37:16 2020 Fold 4, Epoch 7, lr: 0.0000124, train loss: 0.37190, valid loss: 0.45889, Acc: 81.7130, AUC: 0.000000.
Tue Nov 17 14:40:02 2020 Fold 4, Epoch 8, lr: 0.0000075, train loss: 0.35536, valid loss: 0.41120, Acc: 83.4491, AUC: 0.000000.
Tue Nov 17 14:42:47 2020 Fold 4, Epoch 9, lr: 0.0000035, train loss: 0.32907, valid loss: 0.42697, Acc: 83.1019, AUC: 0.000000.
Tue Nov 17 14:45:33 2020 Fold 4, Epoch 10, lr: 0.0000009, train loss: 0.31167, valid loss: 0.41132, Acc: 83.7963, AUC: 0.000000.
Tue Nov 17 15:41:42 2020 Fold 0, Epoch 1, lr: 0.0000030, train loss: 0.04966, valid loss: 0.55532, Acc: 80.9606, AUC: 0.000000.
Tue Nov 17 15:44:29 2020 Fold 0, Epoch 2, lr: 0.0000300, train loss: 0.07320, valid loss: 0.57262, Acc: 79.4560, AUC: 0.000000.
Tue Nov 17 15:47:16 2020 Fold 0, Epoch 3, lr: 0.0000291, train loss: 0.06321, valid loss: 0.57466, Acc: 79.3981, AUC: 0.000000.
Tue Nov 17 15:50:04 2020 Fold 0, Epoch 4, lr: 0.0000265, train loss: 0.05138, valid loss: 0.57896, Acc: 79.5139, AUC: 0.000000.
Tue Nov 17 15:52:54 2020 Fold 0, Epoch 5, lr: 0.0000225, train loss: 0.03780, valid loss: 0.56679, Acc: 79.9769, AUC: 0.000000.
Tue Nov 17 15:55:41 2020 Fold 0, Epoch 6, lr: 0.0000176, train loss: 0.02957, valid loss: 0.59838, Acc: 79.9769, AUC: 0.000000.
Tue Nov 17 15:58:28 2020 Fold 0, Epoch 7, lr: 0.0000124, train loss: 0.02108, valid loss: 0.61365, Acc: 81.0764, AUC: 0.000000.
