Wed Nov 11 03:02:32 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.01854, valid loss: 0.03600, Acc: 98.4422, AUC: 0.999668.
Wed Nov 11 03:10:16 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00779, valid loss: 0.00600, Acc: 99.8674, AUC: 0.999992.
Wed Nov 11 13:59:23 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.21154, valid loss: 0.19735, Acc: 91.6805, AUC: 0.982643.
Wed Nov 11 14:07:08 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.12614, valid loss: 0.03294, Acc: 98.6742, AUC: 0.999537.
Wed Nov 11 14:14:53 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.05489, valid loss: 0.03592, Acc: 98.9725, AUC: 0.999398.
Wed Nov 11 14:22:38 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.02477, valid loss: 0.01893, Acc: 99.6685, AUC: 0.999960.
Wed Nov 11 14:30:23 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.00942, valid loss: 0.00899, Acc: 99.7348, AUC: 0.999986.
Wed Nov 11 14:38:12 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.26192, valid loss: 0.31639, Acc: 84.8525, AUC: 0.971486.
Wed Nov 11 14:46:01 2020 Fold 0, Epoch 2, lr: 0.0004000, train loss: 0.15656, valid loss: 0.18087, Acc: 91.7136, AUC: 0.996726.
Wed Nov 11 14:53:46 2020 Fold 0, Epoch 3, lr: 0.0003414, train loss: 0.07598, valid loss: 0.14753, Acc: 94.3984, AUC: 0.993119.
Wed Nov 11 15:01:33 2020 Fold 0, Epoch 4, lr: 0.0002000, train loss: 0.04307, valid loss: 0.03537, Acc: 98.9393, AUC: 0.999756.
Wed Nov 11 15:09:24 2020 Fold 0, Epoch 5, lr: 0.0000586, train loss: 0.01718, valid loss: 0.08117, Acc: 97.2158, AUC: 0.999435.
Wed Nov 11 15:17:25 2020 Fold 0, Epoch 1, lr: 0.0000400, train loss: 0.30475, valid loss: 0.30407, Acc: 88.0345, AUC: 0.946039.
